fips,county,state,county_population,median_household_income,poverty_rate,unemployment_rate,pct_bachelors_plus,pct_white,pct_black,pct_native,pct_asian,svi_score,cbsa_title,metro_micro_type,urban_rural,pct_poor_mental_health
01001,Autauga County,Alabama,58761,68315,11.373968537166974,2.6755852842809364,29.558574698915095,74.44903932880652,19.563996528309595,0.10040673235649496,1.1197903371283675,0.2663,"Montgomery, AL",Metropolitan Statistical Area,Metro,18.0
01003,Baldwin County,Alabama,233420,71039,10.21395057049129,3.422328794087647,32.561578714181366,83.9679547596607,8.330477251306657,0.36329363379316254,0.8765315739868049,0.3487,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Metro,16.8
01005,Barbour County,Alabama,24877,39712,24.16365383735298,5.753791257805531,11.881188118811881,45.45966153475097,46.90276158700808,0.29746352052096314,0.5064919403465048,0.9927,"Eufaula, AL-GA",Micropolitan Statistical Area,Micro,19.9
01007,Bibb County,Alabama,22251,50669,20.622960261086583,8.706247230837395,10.919937205651491,75.8258055817716,20.68671070963103,0.0943777807738978,0.31009842254280706,0.8451,"Birmingham, AL",Metropolitan Statistical Area,Metro,18.9
01009,Blount County,Alabama,59077,57440,14.173187897053033,5.96394421557882,14.741406766788348,91.30626131997224,1.2339827682516038,0.38424429134857896,0.16927061292888942,0.6166,"Birmingham, AL",Metropolitan Statistical Area,Metro,17.5
01011,Bullock County,Alabama,10328,36136,27.943011647254572,3.7037037037037033,9.376746785913918,23.20875290472502,68.90975987606507,0.0,0.4163439194422928,0.8985,,,,21.3
01013,Butler County,Alabama,18981,44429,21.107656015440703,6.8099913011060025,13.048394391677972,51.50940414098309,44.58142352879195,0.3635214161529951,1.2802275960170697,0.6872,,,,20.2
01015,Calhoun County,Alabama,116162,54339,18.039163328882953,6.898226864221521,19.153437812773184,71.71536302749608,22.064874916065495,0.22210361391849315,0.6585630412699506,0.8145,"Anniston-Oxford, AL",Metropolitan Statistical Area,Metro,19.3
01017,Chambers County,Alabama,34612,48805,17.87814631851329,3.5625517812758902,12.733748886910062,56.74910435687045,40.777764937016066,0.06067259909857853,0.17335028313879577,0.8295,"LaGrange, GA-AL",Micropolitan Statistical Area,Micro,18.3
01019,Cherokee County,Alabama,25069,46621,14.259063995457863,3.9671427237935224,14.592668574205042,91.28405600542503,4.020902309625434,0.47867884638398017,0.10770274043639555,0.406,,,,19.8
01021,Chilton County,Alabama,45140,62471,14.450619923044036,5.30093870789619,13.973014472867456,81.28710677891006,9.430660168365087,1.4333185644661053,0.5073105892778024,0.5336,"Birmingham, AL",Metropolitan Statistical Area,Metro,19.3
01023,Choctaw County,Alabama,12669,43299,19.142284569138276,5.208115457017361,13.046840477242599,56.673770621201356,39.95579761622859,0.22101191885705262,0.11839924224484963,0.6548,,,,17.8
01025,Clarke County,Alabama,23058,47549,22.360823379027636,12.445633991301438,13.768342179206993,51.44418423106948,45.49397172347992,0.06505334374186833,0.39032006245121,0.8365,,,,18.0
01027,Clay County,Alabama,14209,48074,17.570389572981927,5.713767458733901,12.762359494678204,81.5046801323105,12.597649377155323,0.03518896474065733,0.2533605461327328,0.6223,,,,20.0
01029,Cleburne County,Alabama,15144,51553,12.89224195486714,2.6009582477754964,16.49106302916275,92.63074484944532,2.7139461172741677,0.23111463285789752,0.09904912836767037,0.5196,,,,18.1
01031,Coffee County,Alabama,53559,62199,16.299584542712424,4.487521003237572,21.60794397636503,72.50695494688101,16.79829720495155,0.6870927388487462,1.0511772064452287,0.6802,"Enterprise, AL",Micropolitan Statistical Area,Micro,17.7
01033,Colbert County,Alabama,57270,56149,15.87873012511691,3.401642432004822,18.043345169584914,78.04784354810546,16.03806530469705,0.3108084511960887,0.3736685873930505,0.4467,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Metro,17.3
01035,Conecuh County,Alabama,11576,39888,18.429737710613168,4.35336048879837,13.314244810307802,49.680373185901864,48.47097442985488,0.2850725639253628,0.31098825155494125,0.5122,,,,20.8
01037,Coosa County,Alabama,10329,52279,11.054268231517705,4.345703125,10.634861473474967,66.40526672475553,30.20621550972989,0.08713331397037467,0.0,0.4808,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,Micro,19.5
01039,Covington County,Alabama,37542,48772,18.783075962764947,5.480907443284795,16.30808787386093,83.65031165095094,12.26892547014011,0.3116509509349529,0.5806829684087156,0.7121,,,,18.0
01041,Crenshaw County,Alabama,13205,48557,14.858472276075998,6.04515659140568,17.195015303891562,71.07913669064749,23.16546762589928,0.07572889057175312,1.1662249148049981,0.685,,,,19.6
01043,Cullman County,Alabama,88284,58119,13.031960642653182,4.338968252043365,18.296488946684004,91.83657287843778,1.0873997553350552,0.40211136785827556,0.31489284581577637,0.4909,"Cullman, AL",Micropolitan Statistical Area,Micro,18.9
01045,Dale County,Alabama,49455,52813,17.518927640561003,6.982167352537723,19.161694422180663,70.40137498736226,21.061571125265395,0.9624911535739562,1.235466585785057,0.7766,"Ozark, AL",Micropolitan Statistical Area,Micro,18.5
